path,name,size,modificationTime
dbfs:/databricks-datasets/COVID/,COVID/,0,1.72744E+12
dbfs:/databricks-datasets/README.md,README.md,976,1.5325E+12
dbfs:/databricks-datasets/Rdatasets/,Rdatasets/,0,1.72744E+12
dbfs:/databricks-datasets/SPARK_README.md,SPARK_README.md,3359,1.45551E+12
dbfs:/databricks-datasets/adult/,adult/,0,1.72744E+12
dbfs:/databricks-datasets/airlines/,airlines/,0,1.72744E+12
dbfs:/databricks-datasets/amazon/,amazon/,0,1.72744E+12
dbfs:/databricks-datasets/asa/,asa/,0,1.72744E+12
dbfs:/databricks-datasets/atlas_higgs/,atlas_higgs/,0,1.72744E+12
dbfs:/databricks-datasets/bikeSharing/,bikeSharing/,0,1.72744E+12
dbfs:/databricks-datasets/cctvVideos/,cctvVideos/,0,1.72744E+12
dbfs:/databricks-datasets/credit-card-fraud/,credit-card-fraud/,0,1.72744E+12
dbfs:/databricks-datasets/cs100/,cs100/,0,1.72744E+12
dbfs:/databricks-datasets/cs110x/,cs110x/,0,1.72744E+12
dbfs:/databricks-datasets/cs190/,cs190/,0,1.72744E+12
dbfs:/databricks-datasets/data.gov/,data.gov/,0,1.72744E+12
dbfs:/databricks-datasets/definitive-guide/,definitive-guide/,0,1.72744E+12
dbfs:/databricks-datasets/delta-sharing/,delta-sharing/,0,1.72744E+12
dbfs:/databricks-datasets/flights/,flights/,0,1.72744E+12
dbfs:/databricks-datasets/flower_photos/,flower_photos/,0,1.72744E+12
dbfs:/databricks-datasets/flowers/,flowers/,0,1.72744E+12
dbfs:/databricks-datasets/genomics/,genomics/,0,1.72744E+12
dbfs:/databricks-datasets/hail/,hail/,0,1.72744E+12
dbfs:/databricks-datasets/identifying-campaign-effectiveness/,identifying-campaign-effectiveness/,0,1.72744E+12
dbfs:/databricks-datasets/inventory-reports/,inventory-reports/,0,1.72744E+12
dbfs:/databricks-datasets/iot/,iot/,0,1.72744E+12
dbfs:/databricks-datasets/iot-stream/,iot-stream/,0,1.72744E+12
dbfs:/databricks-datasets/learning-spark/,learning-spark/,0,1.72744E+12
dbfs:/databricks-datasets/learning-spark-v2/,learning-spark-v2/,0,1.72744E+12
dbfs:/databricks-datasets/lending-club-loan-stats/,lending-club-loan-stats/,0,1.72744E+12
dbfs:/databricks-datasets/med-images/,med-images/,0,1.72744E+12
dbfs:/databricks-datasets/media/,media/,0,1.72744E+12
dbfs:/databricks-datasets/mnist-digits/,mnist-digits/,0,1.72744E+12
dbfs:/databricks-datasets/news20.binary/,news20.binary/,0,1.72744E+12
dbfs:/databricks-datasets/nyctaxi/,nyctaxi/,0,1.72744E+12
dbfs:/databricks-datasets/nyctaxi-with-zipcodes/,nyctaxi-with-zipcodes/,0,1.72744E+12
dbfs:/databricks-datasets/online_retail/,online_retail/,0,1.72744E+12
dbfs:/databricks-datasets/overlap-join/,overlap-join/,0,1.72744E+12
dbfs:/databricks-datasets/power-plant/,power-plant/,0,1.72744E+12
dbfs:/databricks-datasets/retail-org/,retail-org/,0,1.72744E+12
dbfs:/databricks-datasets/rwe/,rwe/,0,1.72744E+12
dbfs:/databricks-datasets/sai-summit-2019-sf/,sai-summit-2019-sf/,0,1.72744E+12
dbfs:/databricks-datasets/sample_logs/,sample_logs/,0,1.72744E+12
dbfs:/databricks-datasets/samples/,samples/,0,1.72744E+12
dbfs:/databricks-datasets/sfo_customer_survey/,sfo_customer_survey/,0,1.72744E+12
dbfs:/databricks-datasets/sms_spam_collection/,sms_spam_collection/,0,1.72744E+12
dbfs:/databricks-datasets/songs/,songs/,0,1.72744E+12
dbfs:/databricks-datasets/structured-streaming/,structured-streaming/,0,1.72744E+12
dbfs:/databricks-datasets/timeseries/,timeseries/,0,1.72744E+12
dbfs:/databricks-datasets/tpch/,tpch/,0,1.72744E+12
dbfs:/databricks-datasets/travel_recommendations_realtime/,travel_recommendations_realtime/,0,1.72744E+12
dbfs:/databricks-datasets/warmup/,warmup/,0,1.72744E+12
dbfs:/databricks-datasets/weather/,weather/,0,1.72744E+12
dbfs:/databricks-datasets/wiki/,wiki/,0,1.72744E+12
dbfs:/databricks-datasets/wikipedia-datasets/,wikipedia-datasets/,0,1.72744E+12
dbfs:/databricks-datasets/wine-quality/,wine-quality/,0,1.72744E+12
